id,type,text1,text2,text3,notes
brdy_squallgun,WEAPON,"A chemical/magnetic co-propellant cannon by Blackrock, designed to threaten ships at close range with large caliber rounds.

Most of the turret house consists of recoil-absorbing servoes and gel reservoirs, making it feasible to mount the cannon on fairly small-sized vessels without impairing their maneuvering ability.",Strike,,
brdy_nevermore,SHIP,"The symbol of Blackrock Interstellar Authority's space fleets, this cruiser is known for its surprising mobility and enormous destructive potential.

As a deterrent, the Nevermore is quite useful, but the ship's real tactical value has been debated: it's expensive, tactically inflexible, and maintenance service has to be bought directly from Blackrock due to the secrecy associated with key components. Still, none can debate the effect the ship has on enemy morale. Just ask anyone who's been slagged by a blast of antimatter moving at relativistic speeds. Or better yet, ask their wingman.",,,
brdy_desdinova,SHIP,"A cutting-edge destroyer with monstrous engines that can quickly and effectively eliminate key targets from the battlefield. Its overtuned systems can break down during long engagements.

Lacking the reach and resources needed to mass-produce phase technology, Blackrock still required a flexible mid line option that can outmaneuver other destroyers and avoid fighter wings. The result is a design that has mobility unheard of for a hull of its size - bristling with Blackrock-custom ballistic guns and sporting a gas-bleeding flux core built directly into the engine, this menacing, insectoid vessel has quickly ascended to notoriety. ",,,
brdy_scarab,SHIP,"The Scarab is a large, flexible frigate. Its somewhat outdated shield generator is offset by an impressive armament, ample cargo holds, and large ordnance capacity.",,,
brdy_revenant,SHIP,"The Revenant-class is designed to round out any task force it is assigned to, being well capable of servicing fighters, carrying supplies, and defending itself against strike craft and frigates. 

Its Barracuda Drones allow it to intercept small threats, or leave fighters open for other tasks in lieu of needing to escort their carrier.",,,
brdy_gonodactylus,SHIP,"A re-tooled variant of a pre-Collapse asteroid smasher. While its asymmetry leaves parts of the hull very exposed, this ship was originally armored to withstand asteroid impacts.

Featuring a built-in kinetic asteroid disintegrator and several gun batteries, this ship is suitable to a no-nonsense, straight-forward role in combat. Able to turn on a dime to cover its weak flanks and featuring powerful engines to lug its considerable mass around, this scruffy crustacean is no pushover in fleet battles.",,,
brdy_ac,WEAPON,"Fires solid-core rounds that oscillate between P-space and normal space, sometimes causing an explosive plasma reaction when striking armor/hull.",Close Support,,
brdy_krait,SHIP,"One of the largest flight deck-compatible craft in the Sector. Designed as a shieldless fighter of the newest generation, it features tuned flux dissipation bleed lines and heavy ballistic weapons.",,,
brdy_locust,SHIP,"This flexible, nimble gunship is widely used to guard assets and escort larger ships. ",,,
brdy_amlance,WEAPON,"The Nevermore is built around this terrifying weapon. Its weakness is the fact that it's part of the ship, and cannot aim independently.",,,
achilles_mrm,WEAPON,A highly advanced medium range missile that maneuvers into close range and then fires a trio of shard-headed heatseekers.,Fire Support,,
